Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1330
Start Time: 1/25/2023 2:51:54.39 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
668,13.36,106.518
669,13.38,106.521
670,13.40,106.522
671,13.42,106.535
672,13.44,106.520
673,13.46,106.521
674,13.48,106.530
675,13.50,106.555
676,13.52,106.548
677,13.54,106.534
678,13.56,106.532
679,13.58,106.541
680,13.60,106.550
681,13.62,106.562
682,13.64,106.571
683,13.66,106.568
684,13.68,106.570
685,13.70,106.591
686,13.72,106.619
687,13.74,106.652
688,13.76,106.665
689,13.78,106.671
690,13.80,106.682
691,13.82,106.691
692,13.84,106.705
693,13.86,106.710
694,13.88,106.694
695,13.90,106.663
696,13.92,106.628
697,13.94,106.591
698,13.96,106.574
699,13.98,106.557
700,14.00,106.544
701,14.02,106.530
702,14.04,106.509
703,14.06,106.499
704,14.08,106.493
705,14.10,106.483
706,14.12,106.481
707,14.14,106.465
708,14.16,106.460
709,14.18,106.464
710,14.20,106.451
711,14.22,106.455
712,14.24,106.453
713,14.26,106.459
714,14.28,106.445
715,14.30,106.441
716,14.32,106.429
717,14.34,106.428
718,14.36,106.443
719,14.38,106.466
720,14.40,106.481
721,14.42,106.483
722,14.44,106.479
723,14.46,106.491
724,14.48,106.509
725,14.50,106.504
726,14.52,106.484
727,14.54,106.469
728,14.56,106.465
729,14.58,106.458
730,14.60,106.467
731,14.62,106.454
732,14.64,106.433
733,14.66,106.444
734,14.68,106.440
735,14.70,106.448
736,14.72,106.422
737,14.74,106.419
738,14.76,106.410
739,14.78,106.421
740,14.80,106.437
741,14.82,106.442
742,14.84,106.461
743,14.86,106.452
744,14.88,106.459
745,14.90,106.459
746,14.92,106.439
747,14.94,106.423
748,14.96,106.412
749,14.98,106.402
750,15.00,106.411
751,15.02,106.394
752,15.04,106.389
753,15.06,106.387
754,15.08,106.394
755,15.10,106.397
756,15.12,106.399
757,15.14,106.388
758,15.16,106.391
759,15.18,106.409
760,15.20,106.413
761,15.22,106.423
762,15.24,106.417
763,15.26,106.430
764,15.28,106.432
765,15.30,106.437
766,15.32,106.442
767,15.34,106.435
768,15.36,106.433
769,15.38,106.435
770,15.40,106.435
771,15.42,106.432
772,15.44,106.437
773,15.46,106.432
774,15.48,106.422
775,15.50,106.413
776,15.52,106.413
777,15.54,106.420
778,15.56,106.408
779,15.58,106.403
780,15.60,106.412
781,15.62,106.411
782,15.64,106.395
783,15.66,106.403
784,15.68,106.396
785,15.70,106.395
786,15.72,106.412
787,15.74,106.403
788,15.76,106.390
789,15.78,106.409
790,15.80,106.416
791,15.82,106.417
792,15.84,106.430
793,15.86,106.430
794,15.88,106.426
795,15.90,106.418
796,15.92,106.426
797,15.94,106.449
798,15.96,106.455
799,15.98,106.454
800,16.00,106.471
801,16.02,106.474
802,16.04,106.487
803,16.06,106.481
804,16.08,106.474
805,16.10,106.468
806,16.12,106.486
807,16.14,106.475
808,16.16,106.471
809,16.18,106.465
810,16.20,106.467
811,16.22,106.457
812,16.24,106.474
813,16.26,106.476
814,16.28,106.477
815,16.30,106.471
816,16.32,106.478
817,16.34,106.479
818,16.36,106.464
819,16.38,106.480
820,16.40,106.460
821,16.42,106.453
822,16.44,106.456
823,16.46,106.456
824,16.48,106.449
825,16.50,106.447
826,16.52,106.446
827,16.54,106.451
828,16.56,106.448
829,16.58,106.439
830,16.60,106.424
831,16.62,106.424
832,16.64,106.426
833,16.66,106.428
834,16.68,106.416
835,16.70,106.413
836,16.72,106.406
837,16.74,106.413
838,16.76,106.416
839,16.78,106.413
840,16.80,106.414
841,16.82,106.414
842,16.84,106.416
843,16.86,106.410
844,16.88,106.413
845,16.90,106.424
846,16.92,106.417
847,16.94,106.413
848,16.96,106.420
849,16.98,106.415
850,17.00,106.408
851,17.02,106.398
852,17.04,106.407
853,17.06,106.389
854,17.08,106.385
855,17.10,106.372
856,17.12,106.375
857,17.14,106.377
858,17.16,106.370
859,17.18,106.365
860,17.20,106.352
861,17.22,106.352
862,17.24,106.359
863,17.26,106.359
864,17.28,106.362
865,17.30,106.354
866,17.32,106.334
867,17.34,106.335
868,17.36,106.343
869,17.38,106.331
870,17.40,106.332
871,17.42,106.325
872,17.44,106.324
873,17.46,106.323
874,17.48,106.331
875,17.50,106.325
876,17.52,106.332
877,17.54,106.356
878,17.56,106.385
879,17.58,106.436
880,17.60,106.456
881,17.62,106.470
882,17.64,106.468
883,17.66,106.462
884,17.68,106.480
