"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1300"
"Start Time: 1/25/2023 2:43:08.66 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"479","9.58","21.306"
"480","9.60","21.309"
"481","9.62","21.322"
"482","9.64","21.321"
"483","9.66","21.321"
"484","9.68","21.336"
"485","9.70","21.334"
"486","9.72","21.339"
"487","9.74","21.338"
"488","9.76","21.337"
"489","9.78","21.332"
"490","9.80","21.325"
"491","9.82","21.322"
"492","9.84","21.313"
"493","9.86","21.306"
"494","9.88","21.305"
"495","9.90","21.306"
"496","9.92","21.306"
"497","9.94","21.310"
"498","9.96","21.313"
"499","9.98","21.324"
"500","10.00","21.328"
"501","10.02","21.328"
"502","10.04","21.331"
"503","10.06","21.339"
"504","10.08","21.332"
"505","10.10","21.344"
"506","10.12","21.324"
"507","10.14","21.324"
"508","10.16","21.313"
"509","10.18","21.316"
"510","10.20","21.310"
"511","10.22","21.306"
"512","10.24","21.309"
"513","10.26","21.311"
"514","10.28","21.313"
"515","10.30","21.324"
"516","10.32","21.324"
"517","10.34","21.329"
"518","10.36","21.330"
"519","10.38","21.336"
"520","10.40","21.334"
"521","10.42","21.330"
"522","10.44","21.330"
"523","10.46","21.323"
"524","10.48","21.323"
"525","10.50","21.316"
"526","10.52","21.308"
"527","10.54","21.307"
"528","10.56","21.316"
"529","10.58","21.313"
"530","10.60","21.307"
"531","10.62","21.322"
"532","10.64","21.319"
"533","10.66","21.327"
"534","10.68","21.322"
"535","10.70","21.332"
"536","10.72","21.328"
"537","10.74","21.335"
"538","10.76","21.328"
"539","10.78","21.327"
"540","10.80","21.322"
"541","10.82","21.327"
"542","10.84","21.313"
"543","10.86","21.306"
"544","10.88","21.307"
"545","10.90","21.304"
"546","10.92","21.312"
"547","10.94","21.308"
"548","10.96","21.317"
"549","10.98","21.316"
"550","11.00","21.327"
"551","11.02","21.331"
"552","11.04","21.333"
"553","11.06","21.341"
"554","11.08","21.332"
"555","11.10","21.324"
"556","11.12","21.322"
"557","11.14","21.314"
"558","11.16","21.306"
"559","11.18","21.305"
"560","11.20","21.309"
"561","11.22","21.312"
"562","11.24","21.301"
