Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 514
Start Time: 1/18/2023 2:55:29.3 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
389,38.9,20.209,20.372
390,39.0,20.206,20.381
391,39.1,20.199,20.380
392,39.2,20.207,20.400
393,39.3,20.215,20.392
394,39.4,20.201,20.392
395,39.5,20.203,20.397
396,39.6,20.199,20.410
397,39.7,20.213,20.419
398,39.8,20.196,20.428
399,39.9,20.207,20.437
400,40.0,20.218,20.452
401,40.1,20.201,20.445
402,40.2,20.204,20.438
403,40.3,20.211,20.448
404,40.4,20.214,20.453
405,40.5,20.203,20.438
406,40.6,20.202,20.436
407,40.7,20.205,20.432
408,40.8,20.205,20.437
409,40.9,20.203,20.428
410,41.0,20.201,20.435
411,41.1,20.198,20.429
412,41.2,20.192,20.425
413,41.3,20.203,20.428
414,41.4,20.201,20.431
415,41.5,20.202,20.434
416,41.6,20.193,20.433
417,41.7,20.196,20.422
418,41.8,20.196,20.429
419,41.9,20.195,20.436
420,42.0,20.206,20.433
421,42.1,20.199,20.438
422,42.2,20.199,20.427
423,42.3,20.204,20.439
424,42.4,20.204,20.432
425,42.5,20.213,20.433
426,42.6,20.209,20.431
427,42.7,20.204,20.432
428,42.8,20.216,20.428
429,42.9,20.200,20.412
430,43.0,20.195,20.407
431,43.1,20.203,20.393
432,43.2,20.207,20.395
433,43.3,20.208,20.397
434,43.4,20.211,20.388
435,43.5,20.213,20.379
436,43.6,20.211,20.369
437,43.7,20.210,20.362
438,43.8,20.206,20.359
439,43.9,20.203,20.351
440,44.0,20.213,20.346
441,44.1,20.208,20.339
442,44.2,20.210,20.336
443,44.3,20.205,20.325
444,44.4,20.204,20.328
445,44.5,20.215,20.328
446,44.6,20.205,20.315
447,44.7,20.204,20.311
448,44.8,20.212,20.311
449,44.9,20.208,20.309
450,45.0,20.204,20.297
451,45.1,20.208,20.305
452,45.2,20.212,20.299
453,45.3,20.205,20.286
454,45.4,20.210,20.290
455,45.5,20.208,20.277
456,45.6,20.212,20.281
457,45.7,20.216,20.279
458,45.8,20.218,20.267
459,45.9,20.208,20.265
460,46.0,20.212,20.255
461,46.1,20.214,20.256
462,46.2,20.215,20.246
463,46.3,20.209,20.256
464,46.4,20.212,20.246
465,46.5,20.202,20.238
466,46.6,20.200,20.237
467,46.7,20.201,20.231
468,46.8,20.201,20.221
469,46.9,20.207,20.221
470,47.0,20.206,20.213
471,47.1,20.212,20.217
472,47.2,20.208,20.214
473,47.3,20.202,20.207
474,47.4,20.196,20.209
475,47.5,20.206,20.205
476,47.6,20.207,20.202
477,47.7,20.202,20.208
