Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 513
Start Time: 1/18/2023 3:08:21.8 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
366,36.6,0.241,1.788
367,36.7,0.244,1.801
368,36.8,0.238,1.790
369,36.9,0.238,1.791
370,37.0,0.241,1.800
371,37.1,0.234,1.796
372,37.2,0.242,1.788
373,37.3,0.242,1.799
374,37.4,0.237,1.794
375,37.5,0.238,1.791
376,37.6,0.245,1.804
377,37.7,0.235,1.797
378,37.8,0.247,1.799
379,37.9,0.244,1.814
380,38.0,0.238,1.800
381,38.1,0.235,1.799
382,38.2,0.240,1.801
383,38.3,0.230,1.805
384,38.4,0.238,1.800
385,38.5,0.246,1.807
386,38.6,0.243,1.800
387,38.7,0.242,1.803
388,38.8,0.248,1.800
389,38.9,0.239,1.813
390,39.0,0.244,1.809
391,39.1,0.250,1.817
392,39.2,0.240,1.814
393,39.3,0.242,1.818
394,39.4,0.241,1.816
395,39.5,0.252,1.815
396,39.6,0.246,1.825
397,39.7,0.240,1.821
398,39.8,0.247,1.815
399,39.9,0.252,1.814
400,40.0,0.236,1.822
401,40.1,0.246,1.822
402,40.2,0.244,1.815
403,40.3,0.242,1.819
404,40.4,0.250,1.831
405,40.5,0.246,1.827
406,40.6,0.247,1.827
407,40.7,0.247,1.822
408,40.8,0.249,1.826
409,40.9,0.240,1.825
410,41.0,0.245,1.828
411,41.1,0.247,1.828
412,41.2,0.251,1.834
413,41.3,0.245,1.825
414,41.4,0.251,1.828
415,41.5,0.248,1.831
416,41.6,0.254,1.824
417,41.7,0.248,1.834
418,41.8,0.243,1.837
419,41.9,0.250,1.827
420,42.0,0.250,1.841
421,42.1,0.247,1.842
422,42.2,0.245,1.827
423,42.3,0.250,1.836
424,42.4,0.248,1.846
425,42.5,0.247,1.837
426,42.6,0.257,1.834
427,42.7,0.247,1.846
428,42.8,0.256,1.831
429,42.9,0.254,1.850
430,43.0,0.248,1.847
431,43.1,0.252,1.835
432,43.2,0.255,1.837
433,43.3,0.246,1.842
434,43.4,0.251,1.844
435,43.5,0.251,1.840
436,43.6,0.248,1.844
437,43.7,0.239,1.834
438,43.8,0.249,1.843
439,43.9,0.252,1.832
440,44.0,0.255,1.850
441,44.1,0.248,1.858
442,44.2,0.252,1.843
443,44.3,0.257,1.848
444,44.4,0.248,1.853
445,44.5,0.254,1.841
446,44.6,0.259,1.851
447,44.7,0.254,1.856
448,44.8,0.257,1.854
449,44.9,0.256,1.853
450,45.0,0.256,1.858
451,45.1,0.247,1.851
452,45.2,0.255,1.854
453,45.3,0.255,1.862
454,45.4,0.257,1.850
455,45.5,0.267,1.860
456,45.6,0.246,1.862
457,45.7,0.255,1.853
458,45.8,0.257,1.860
459,45.9,0.254,1.858
460,46.0,0.251,1.864
461,46.1,0.254,1.863
462,46.2,0.252,1.860
463,46.3,0.256,1.865
464,46.4,0.260,1.862
465,46.5,0.257,1.869
466,46.6,0.251,1.865
467,46.7,0.252,1.869
468,46.8,0.250,1.867
469,46.9,0.247,1.869
470,47.0,0.247,1.875
471,47.1,0.250,1.872
472,47.2,0.253,1.868
473,47.3,0.252,1.871
474,47.4,0.246,1.881
475,47.5,0.254,1.871
476,47.6,0.248,1.885
477,47.7,0.255,1.876
478,47.8,0.246,1.872
479,47.9,0.253,1.880
480,48.0,0.250,1.886
481,48.1,0.254,1.871
482,48.2,0.266,1.871
483,48.3,0.260,1.886
484,48.4,0.254,1.880
485,48.5,0.256,1.884
486,48.6,0.250,1.888
487,48.7,0.261,1.883
488,48.8,0.263,1.884
489,48.9,0.249,1.882
490,49.0,0.263,1.886
491,49.1,0.252,1.892
492,49.2,0.258,1.889
493,49.3,0.264,1.893
494,49.4,0.257,1.886
495,49.5,0.252,1.897
496,49.6,0.256,1.885
497,49.7,0.259,1.887
498,49.8,0.254,1.885
499,49.9,0.256,1.900
500,50.0,0.256,1.886
501,50.1,0.253,1.898
502,50.2,0.261,1.896
503,50.3,0.257,1.905
504,50.4,0.256,1.891
505,50.5,0.255,1.900
506,50.6,0.256,1.907
507,50.7,0.267,1.894
508,50.8,0.265,1.898
509,50.9,0.259,1.906
510,51.0,0.255,1.901
511,51.1,0.246,1.907
512,51.2,0.247,1.897
