Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 511
Start Time: 1/18/2023 3:02:38.0 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
435,43.5,100.294,100.073
436,43.6,100.319,100.105
437,43.7,100.167,100.460
438,43.8,100.303,100.404
439,43.9,100.411,100.448
440,44.0,100.316,100.334
441,44.1,100.222,100.470
442,44.2,100.311,100.106
443,44.3,100.363,100.199
444,44.4,100.266,100.424
445,44.5,100.293,100.395
446,44.6,100.349,100.183
447,44.7,100.274,100.413
448,44.8,100.121,100.436
449,44.9,100.275,100.369
450,45.0,100.461,100.284
451,45.1,100.368,100.424
452,45.2,100.315,100.420
453,45.3,100.338,100.128
454,45.4,100.399,100.139
455,45.5,100.214,100.282
456,45.6,100.408,100.364
457,45.7,100.679,100.529
458,45.8,100.253,100.316
459,45.9,100.085,100.600
460,46.0,100.388,100.174
461,46.1,100.542,100.215
462,46.2,100.449,100.490
463,46.3,100.374,100.297
464,46.4,100.444,100.153
465,46.5,100.686,100.579
466,46.6,100.315,100.377
467,46.7,100.397,100.641
468,46.8,100.271,100.154
469,46.9,100.365,100.600
470,47.0,100.098,100.421
471,47.1,100.429,100.365
472,47.2,101.024,101.088
473,47.3,100.456,100.720
474,47.4,100.786,101.100
475,47.5,100.381,100.450
476,47.6,100.271,100.231
477,47.7,99.455,99.739
478,47.8,99.839,99.688
479,47.9,100.006,100.018
480,48.0,100.146,100.473
481,48.1,99.871,99.886
482,48.2,100.140,99.818
483,48.3,100.424,100.390
484,48.4,100.071,100.110
485,48.5,99.794,100.069
486,48.6,99.834,100.032
487,48.7,99.736,100.005
488,48.8,99.800,100.204
489,48.9,100.101,99.853
490,49.0,100.195,99.992
491,49.1,100.233,100.629
492,49.2,100.264,100.688
493,49.3,100.441,100.654
494,49.4,100.288,100.340
495,49.5,100.145,100.473
496,49.6,100.281,100.048
497,49.7,100.403,100.114
498,49.8,100.339,100.571
499,49.9,100.305,100.275
500,50.0,100.414,100.109
501,50.1,100.358,100.274
502,50.2,100.251,100.226
503,50.3,100.316,100.345
504,50.4,100.429,100.577
505,50.5,100.309,100.648
506,50.6,100.139,100.574
507,50.7,100.357,100.335
508,50.8,100.428,100.140
509,50.9,100.420,100.718
510,51.0,100.408,100.620
