Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 418
Start Time: 2/8/2023 2:57:30.64 PM
Scan Rate: 20
Sample,Time (s),CH0 (°C),CH1 (°C)
256,12.80,21.020,-9999.000
257,12.85,21.011,-9999.000
258,12.90,21.014,-9999.000
259,12.95,21.022,-9999.000
260,13.00,21.010,-9999.000
261,13.05,20.996,-9999.000
262,13.10,21.008,-9999.000
263,13.15,21.018,-9999.000
264,13.20,21.013,-9999.000
265,13.25,21.016,-9999.000
266,13.30,21.011,-9999.000
267,13.35,21.005,-9999.000
268,13.40,21.020,-9999.000
269,13.45,20.993,-9999.000
270,13.50,20.986,-9999.000
271,13.55,21.006,-9999.000
272,13.60,21.001,-9999.000
273,13.65,20.990,-9999.000
274,13.70,20.984,-9999.000
275,13.75,20.990,-9999.000
276,13.80,20.985,-9999.000
277,13.85,20.983,-9999.000
278,13.90,20.991,-9999.000
279,13.95,20.985,-9999.000
280,14.00,20.982,-9999.000
281,14.05,20.990,-9999.000
282,14.10,20.978,-9999.000
283,14.15,20.980,-9999.000
284,14.20,20.979,-9999.000
285,14.25,20.976,-9999.000
286,14.30,20.959,-9999.000
287,14.35,20.965,-9999.000
288,14.40,20.986,-9999.000
289,14.45,20.950,-9999.000
290,14.50,20.961,-9999.000
291,14.55,20.961,-9999.000
292,14.60,20.962,-9999.000
293,14.65,20.955,-9999.000
294,14.70,20.943,-9999.000
295,14.75,20.954,-9999.000
296,14.80,20.974,-9999.000
297,14.85,20.966,-9999.000
298,14.90,20.946,-9999.000
299,14.95,20.955,-9999.000
300,15.00,20.959,-9999.000
301,15.05,20.950,-9999.000
302,15.10,20.942,-9999.000
303,15.15,20.961,-9999.000
304,15.20,20.958,-9999.000
305,15.25,20.950,-9999.000
306,15.30,20.937,-9999.000
307,15.35,20.947,-9999.000
308,15.40,20.949,-9999.000
309,15.45,20.928,-9999.000
310,15.50,20.927,-9999.000
311,15.55,20.945,-9999.000
312,15.60,20.951,-9999.000
313,15.65,20.948,-9999.000
314,15.70,19.681,-9999.000
315,15.75,20.697,-9999.000
316,15.80,20.738,-9999.000
317,15.85,20.772,-9999.000
318,15.90,20.788,-9999.000
319,15.95,20.808,-9999.000
320,16.00,20.825,-9999.000
321,16.05,20.858,-9999.000
322,16.10,20.899,-9999.000
323,16.15,20.937,-9999.000
324,16.20,20.909,-9999.000
325,16.25,20.925,-9999.000
326,16.30,20.902,-9999.000
327,16.35,20.943,-9999.000
328,16.40,20.923,-9999.000
329,16.45,20.957,-9999.000
330,16.50,20.951,-9999.000
331,16.55,20.911,-9999.000
332,16.60,20.956,-9999.000
333,16.65,20.912,-9999.000
334,16.70,20.981,-9999.000
335,16.75,20.995,-9999.000
336,16.80,20.986,-9999.000
337,16.85,20.982,-9999.000
338,16.90,20.956,-9999.000
339,16.95,20.956,-9999.000
340,17.00,20.949,-9999.000
341,17.05,20.971,-9999.000
342,17.10,20.970,-9999.000
343,17.15,20.959,-9999.000
344,17.20,20.970,-9999.000
345,17.25,20.976,-9999.000
346,17.30,20.955,-9999.000
347,17.35,20.964,-9999.000
348,17.40,20.952,-9999.000
349,17.45,20.952,-9999.000
350,17.50,20.957,-9999.000
351,17.55,20.977,-9999.000
352,17.60,20.963,-9999.000
353,17.65,20.984,-9999.000
354,17.70,20.970,-9999.000
355,17.75,20.975,-9999.000
356,17.80,20.977,-9999.000
357,17.85,20.995,-9999.000
358,17.90,20.993,-9999.000
359,17.95,20.983,-9999.000
360,18.00,20.977,-9999.000
361,18.05,20.981,-9999.000
362,18.10,20.990,-9999.000
363,18.15,20.986,-9999.000
364,18.20,20.997,-9999.000
365,18.25,20.986,-9999.000
366,18.30,20.980,-9999.000
367,18.35,20.985,-9999.000
368,18.40,20.993,-9999.000
369,18.45,20.987,-9999.000
370,18.50,20.982,-9999.000
371,18.55,20.985,-9999.000
372,18.60,20.980,-9999.000
373,18.65,20.979,-9999.000
374,18.70,20.984,-9999.000
375,18.75,20.994,-9999.000
376,18.80,20.979,-9999.000
377,18.85,20.974,-9999.000
378,18.90,20.979,-9999.000
379,18.95,20.962,-9999.000
380,19.00,20.961,-9999.000
381,19.05,20.977,-9999.000
382,19.10,20.970,-9999.000
383,19.15,20.967,-9999.000
384,19.20,20.973,-9999.000
385,19.25,20.974,-9999.000
386,19.30,20.972,-9999.000
387,19.35,20.951,-9999.000
388,19.40,20.961,-9999.000
389,19.45,20.964,-9999.000
390,19.50,20.956,-9999.000
391,19.55,20.949,-9999.000
392,19.60,20.955,-9999.000
393,19.65,20.948,-9999.000
394,19.70,20.962,-9999.000
395,19.75,20.960,-9999.000
396,19.80,20.965,-9999.000
397,19.85,20.950,-9999.000
398,19.90,20.956,-9999.000
399,19.95,20.955,-9999.000
400,20.00,21.016,-9999.000
401,20.05,21.015,-9999.000
402,20.10,21.023,-9999.000
403,20.15,21.013,-9999.000
404,20.20,21.012,-9999.000
405,20.25,21.009,-9999.000
406,20.30,21.014,-9999.000
407,20.35,21.002,-9999.000
408,20.40,21.006,-9999.000
409,20.45,20.994,-9999.000
410,20.50,20.994,-9999.000
411,20.55,21.007,-9999.000
412,20.60,21.001,-9999.000
413,20.65,21.021,-9999.000
414,20.70,21.007,-9999.000
415,20.75,20.986,-9999.000
416,20.80,20.978,-9999.000
417,20.85,20.985,-9999.000
